3.1운동,,,,NNP,*,F,3.1운동,*,*,*,*,*\n
공탁금,,,,NNP,*,F,공탁금,*,*,*,*,*\n
TSMC,,,,NNP,*,F,TSMC,*,*,*,*,*\n
문가놈,,,,NNP,*,F,문가놈,*,*,*,*,*\n
여가부,,,,NNP,*,F,여가부,*,*,*,*,*\n
을미5적,,,,NNP,*,F,을미5적,*,*,*,*,*\n
조선일보,,,,NNP,*,F,조선일보,*,*,*,*,*\n
박그네,,,,NNP,*,F,박그네,*,*,*,*,*\n
독과점,,,,NNP,*,F,독과점,*,*,*,*,*\n
철밥통,,,,NNP,*,F,철밥통,*,*,*,*,*\n
압수수색,,,,NNP,*,F,압수수색,*,*,*,*,*\n
강제연행,,,,NNP,*,F,강제연행,*,*,*,*,*\n
윤두창,,,,NNP,*,F,윤두창,*,*,*,*,*\n
명품백,,,,NNP,*,F,명품백,*,*,*,*,*\n
의새카르텔,,,,NNP,*,F,의새카르텔,*,*,*,*,*\n
의과대학,,,,NNP,*,F,의과대학,*,*,*,*,*\n
쪽지시험,,,,NNP,*,F,쪽지시험,*,*,*,*,*\n
돌팔이,,,,NNP,*,F,돌팔이,*,*,*,*,*\n
빵셔틀,,,,NNP,*,F,빵셔틀,*,*,*,*,*\n
지잡대,,,,NNP,*,F,지잡대,*,*,*,*,*\n
수꼴,,,,NNP,*,F,수꼴,*,*,*,*,*\n
윤통,,,,NNP,*,F,윤통,*,*,*,*,*\n
직권남용,,,,NNP,*,F,직권남용,*,*,*,*,*\n
공권력,,,,NNP,*,F,공권력,*,*,*,*,*\n
검찰독재,,,,NNP,*,F,검찰독재,*,*,*,*,*\n
윤틀러,,,,NNP,*,F,윤틀러,*,*,*,*,*\n
막가파,,,,NNP,*,F,막가파,*,*,*,*,*\n
돈봉투,,,,NNP,*,F,돈봉투,*,*,*,*,*\n
윤완용,,,,NNP,*,F,윤완용,*,*,*,*,*\n
주가조작,,,,NNP,*,F,주가조작,*,*,*,*,*\n
찟재명,,,,NNP,*,F,찟재명,*,*,*,*,*\n
518,,,,NNP,*,F,518,*,*,*,*,*\n
찐명,,,,NNP,*,F,찐명,*,*,*,*,*\n
북중러,,,,NNP,*,F,북중러,*,*,*,*,*\n
한미일,,,,NNP,*,F,한미일,*,*,*,*,*\n
조국,,,,NNP,*,F,조국,*,*,*,*,*\n
낄낄빠빠,,,,NNP,*,F,낄낄빠빠,*,*,*,*,*\n
조국당,,,,NNP,*,F,조국당,*,*,*,*,*\n
추미애,,,,NNP,*,F,추미애,*,*,*,*,*\n
추다르크,,,,NNP,*,F,추다르크,*,*,*,*,*\n
추장군,,,,NNP,*,F,추장군,*,*,*,*,*\n
윤정권,,,,NNP,*,F,윤정권,*,*,*,*,*\n
비대위원장,,,,NNP,*,F,비대위원장,*,*,*,*,*\n
킹메이커,,,,NNP,*,F,킹메이커,*,*,*,*,*\n
킹메이커,,,,NNP,*,F,킹메이커,*,*,*,*,*\n
더불어만진당,,,,NNP,*,F,더불어만진당,*,*,*,*,*\n
윤대통령,,,,NNP,*,F,윤대통령,*,*,*,*,*\n
의료대란,,,,NNP,*,F,의료대란,*,*,*,*,*\n
최저임금,,,,NNP,*,F,최저임금,*,*,*,*,*\n
당근정책,,,,NNP,*,F,당근정책,*,*,*,*,*\n
급식충,,,,NNP,*,F,급식충,*,*,*,*,*\n
MZ세대,,,,NNP,*,F,MZ세대,*,*,*,*,*\n
갑질,,,,NNP,*,F,갑질,*,*,*,*,*\n
사회악,,,,NNP,*,F,사회악,*,*,*,*,*\n
유니클로,,,,NNP,*,F,유니클로,*,*,*,*,*\n
조민,,,,NNP,*,F,조민,*,*,*,*,*\n
종북좌파,,,,NNP,*,F,종북좌파,*,*,*,*,*\n
좌빨,,,,NNP,*,F,좌빨,*,*,*,*,*\n
촉법소년법,,,,NNP,*,F,촉법소년법,*,*,*,*,*\n
조국혁신당,,,,NNP,*,F,조국혁신당,*,*,*,*,*\n
불체자,,,,NNP,*,F,불체자,*,*,*,*,*\n
윤떡렬,,,,NNP,*,F,윤떡렬,*,*,*,*,*\n
기레기,,,,NNP,*,F,기레기,*,*,*,*,*\n
좌삐리,,,,NNP,*,F,좌삐리,*,*,*,*,*\n
탁상행정,,,,NNP,*,F,탁상행정,*,*,*,*,*\n
의협,,,,NNP,*,F,의협,*,*,*,*,*\n
MZ,,,,NNP,*,F,MZ,*,*,*,*,*\n
중노동,,,,NNP,*,F,중노동,*,*,*,*,*\n
지방의료원,,,,NNP,*,F,지방의료원,*,*,*,*,*\n
윤정은,,,,NNP,*,F,윤정은,*,*,*,*,*\n
레드오션,,,,NNP,*,F,레드오션,*,*,*,*,*\n
검찰특수부,,,,NNP,*,F,검찰특수부,*,*,*,*,*\n
검찰정권,,,,NNP,*,F,검찰정권,*,*,*,*,*\n
건강보험료,,,,NNP,*,F,건강보험료,*,*,*,*,*\n
댓글부대,,,,NNP,*,F,댓글부대,*,*,*,*,*\n
내정간섭,,,,NNP,*,F,내정간섭,*,*,*,*,*\n
대깨,,,,NNP,*,F,대깨,*,*,*,*,*\n
잼버리,,,,NNP,*,F,잼버리,*,*,*,*,*\n
OECD,,,,NNP,*,F,OECD,*,*,*,*,*\n
가마우지,,,,NNP,*,F,가마우지,*,*,*,*,*\n
세계의사회,,,,NNP,*,F,세계의사회,*,*,*,*,*\n
검새,,,,NNP,*,F,검새,*,*,*,*,*\n
의료개혁,,,,NNP,*,F,의료개혁,*,*,*,*,*\n
윤진핑,,,,NNP,*,F,윤진핑,*,*,*,*,*\n
굥보유국,,,,NNP,*,F,굥보유국,*,*,*,*,*\n
무지랭이,,,,NNP,*,F,무지랭이,*,*,*,*,*\n
극혐,,,,NNP,*,F,극혐,*,*,*,*,*\n
필수의료,,,,NNP,*,F,필수의료,*,*,*,*,*\n
데드라인,,,,NNP,*,F,데드라인,*,*,*,*,*\n
윤핵관,,,,NNP,*,F,윤핵관,*,*,*,*,*\n
빨간당,,,,NNP,*,F,빨간당,*,*,*,*,*\n
방탄당,,,,NNP,*,F,방탄당,*,*,*,*,*\n
검새공천,,,,NNP,*,F,검새공천,*,*,*,*,*\n
용산공천,,,,NNP,*,F,용산공천,*,*,*,*,*\n
R&D,,,,NNP,*,F,R&D,*,*,*,*,*\n
준떡,,,,NNP,*,F,준떡,*,*,*,*,*\n
준서기,,,,NNP,*,F,준서기,*,*,*,*,*\n
동후니,,,,NNP,*,F,동후니,*,*,*,*,*\n
리재명,,,,NNP,*,F,리재명,*,*,*,*,*\n
급발진,,,,NNP,*,F,급발진,*,*,*,*,*\n
틀딱,,,,NNP,*,F,틀딱,*,*,*,*,*\n
친윤,,,,NNP,*,F,친윤,*,*,*,*,*\n
친명계,,,,NNP,*,F,친명계,*,*,*,*,*\n
부르주아,,,,NNP,*,F,부르주아,*,*,*,*,*\n
운동권,,,,NNP,*,F,운동권,*,*,*,*,*\n
파시즘,,,,NNP,*,F,파시즘,*,*,*,*,*\n
불체포특권,,,,NNP,*,F,불체포특권,*,*,*,*,*\n
공관위원장,,,,NNP,*,F,공관위원장,*,*,*,*,*\n
핫바지,,,,NNP,*,F,핫바지,*,*,*,*,*\n
대장동,,,,NNP,*,F,대장동,*,*,*,*,*\n
개딸당,,,,NNP,*,F,개딸당,*,*,*,*,*\n
